Key,Text
"MaiGreeting.MG_Node1","Có chuyện gì vậy anh?"
"MaiGreeting.MG_Node1.choice.1","Hỏi thăm cô ấy về ngày hôm nay"
"MaiGreeting.MG_Node1.choice.2","Chọn một chủ đề cụ thể"
"MaiGreeting.MG_Node1.choice.3","Không có gì"
"MaiDay_Answer1.MDA1_Node1","Ngày hôm nay của em như thế nào?"
"MaiDay_Answer1.MDA1_Node2","Vui lắm anh. Sáng nay, em mới được anh đồng nghiệp tặng cho ly trà trái cây, uống ngon lắm."
"MaiDay_Answer1.MDA1_Node2_Choices.choice.1","Hỏi về người đồng nghiệp"
"MaiDay_Answer1.MDA1_Node2_Choices.choice.2","Hỏi về ly trà trái cây"
"MaiDay_Answer1.MDA1_ColleagueNode","Anh đồng nghiệp đó là ai vậy? Người đó có nói gì ngoài việc tặng trà trái cây không?"
"MaiDay_Answer1.MDA1_ColleagueNode2","Anh ấy chỉ nói ""Mai, cái này anh tặng em. Coi như là trả ơn vụ hôm qua em giúp anh làm xong cái việc kia."""
"MaiDay_Answer1.MDA1_ColleagueNode3","Gì đấy? Đừng nói là anh ghen nhé?"
"MaiDay_Answer1.MDA1_ColleagueNode4","Làm gì có? Anh chỉ hỏi vậy thôi."
"MaiDay_Answer1.MDA1_FruitTeaNode","Ly trà trái cây đó là ly gì vậy? Có phải ly Trà Đào Cam Sả em hay uống không?"
"MaiDay_Answer1.MDA1_FruitTeaNode2","Không. Nó là ly Trà Chanh Hạt Chia. Trời ơi ngon lắm anh, anh nhất định phải thử đấy."
"MaiDay_Answer1.MDA1_FruitTeaNode3","Em có hỏi anh đồng nghiệp về chỗ bán ly trà đấy rồi. Anh có muốn uống không? Mình đặt đồ uống nè."
"MaiDay_Answer1.MDA1_FruitTeaNode4","Được đấy. Vậy em đặt đi, anh cũng muốn thử."
"MaiDay_Answer2.MDA2_Node1","Ngày hôm nay của em như thế nào?"
"MaiDay_Answer2.MDA2_Node2","Bữa nay xui lắm anh. Hôm nay, em đang trên đường đi làm thì bị té xe, làm em phải đi sửa xe."
"MaiDay_Answer2.MDA2_Node3","Lúc sửa được cái bánh xe xong thì lại tiếp tục kẹt xe. Em bị muộn đến 1 tiếng, làm sếp mắng em nhiều lắm!"
"MaiDay_Answer2.MDA2_Node3_Choices.choice.1",Hỏi về cái xe
"MaiDay_Answer2.MDA2_Node3_Choices.choice.2","An ủi"
"MaiDay_Answer2.MDA2_MotorbikeNode","Té xe á? Cái xe bị làm sao không?"
"MaiDay_Answer2.MDA2_MotorbikeNode2","Em sửa xe hết bao nhiêu vậy? Để anh trả cho."
"MaiDay_Answer2.MDA2_MotorbikeNode3","Em không sao, chỉ bị trầy 1 chút thôi. Cũng may là té xe ở chỗ vắng chứ không phải đường lớn."
"MaiDay_Answer2.MDA2_MotorbikeNode4","Thực ra chỉ là do xe của em bị cán đinh, rồi em bị vấp ổ gà nên té thôi."
"MaiDay_Answer2.MDA2_MotorbikeNode5","Vì chỉ phải vá lốp xe nên anh không cần phải trả dùm đâu."
"MaiDay_Answer2.MDA2_MotorbikeNode6","Nếu vậy thì tốt rồi."
"MaiDay_Answer2.MDA2_MotorbikeNode7",…
"MaiDay_Answer2.MDA2_ComfortNode","Té xe á? Em có bị làm sao không?"
"MaiDay_Answer2.MDA2_ComfortNode2","Em không sao, chỉ bị trầy 1 chút thôi. Cũng may là té xe ở chỗ vắng chứ không phải đường lớn."
"MaiDay_Answer2.MDA2_ComfortNode3","Đâu? Trầy ở đâu, chân em hả? Anh thấy hôm nay em có vẻ đi đứng không thoải mái."
"MaiDay_Answer2.MDA2_ComfortNode4","Để anh đi lấy cồn sát trùng."
"MaiDay_Answer2.MDA2_ComfortNode5","Không cần đâu. Ở công ty em đã sát trùng rồi."
"MaiDay_Answer2.MDA2_ComfortNode6","Tôi nhìn cô ấy một lúc, rồi xoa đầu cô ấy"
"MaiDay_Answer2.MDA2_ComfortNode7",…
"MaiDay_Answer2.MDA2_ComfortNode8","Em có giải thích với sếp rồi chứ?"
