"SequenceID","NodeType","NodeID","ParentNodeID",ChoiceText,"Speaker","LineText","Animation","AnimFloat","FontStyle","IsMonologue","RewardTarget","RewardStat","RewardAmount","NextNodeID","NextSequenceID","StartingNodeInNextSequence","RandomGoodOutcomeSeqID","RandomNeutralOutcomeSeqID","RandomBadOutcomeSeqID"
"Intro_Part4","SEQUENCE_START",,,,,,,,,,,,,,,,,,
"Intro_Part4","NODE","Node1",,,"Player",,,,,,,,,,,,,,
"Intro_Part4","NODE","Node2",,,Mai,,"MaiConfuse",0.5,,,,,,,,,,,
"Intro_Part4","NODE","Node3",,,"Player",,,,,,,,,,,,,,
"Intro_Part4","NODE","Node4",,,Mai,,MaiTalk,0.8,,,,,,,,,,,
"Intro_Part4","NODE","Node5",,,"Player",,,,,"TRUE",,,,,,,,,
"Intro_Part4","NODE","Node6",,,"Player",,,,,"TRUE",,,,,,,,,
"Intro_Part4","NODE","Node6_Choices",,,Mai,,,,,,,,,,,,,,
"Intro_Part4",CHOICE,,"Node6_Choices",,"Player",,,,,,,,,"Node1_KissMe",,,,,
"Intro_Part4",CHOICE,,"Node6_Choices",,"Player",,,,,,,,,"Node1_SayGoodbye",,,,,
"Intro_Part4","NODE","Node1_KissMe",,,"Player",,,,,,,,,,,,,,
"Intro_Part4","NODE","Node2_KissMe",,,Mai,,MaiLaugh,0.5,,,,,,,,,,,
"Intro_Part4","SEQUENCE_END","Node3_KissMe",,,,,,,,,Mai,Love,10,,,,,,
"Intro_Part4","NODE","Node1_SayGoodbye",,,"Player",,,,,,,,,,,,,,
"Intro_Part4","NODE","Node2_SayGoodbye",,,Mai,,"MaiAngry",0.5,,,,,,,,,,,
"Intro_Part4","NODE","Node3_SayGoodbye",,,Mai,,,,,,,,,,,,,,
"Intro_Part4","SEQUENCE_END","Node4_SayGoodbye",,,,,,,,,Mai,Love,-5,,,,,,
