Key,Text
Body Butthole,肛門
Body Body Status,身体状態
Body Boobs,おっぱい
Body Lewd Level Title,淫乱度Lv.
Body Mouth,口
"Body Not Pregnant",未妊娠
"Body Point",ポイント
"Body Pregnancy Status",妊娠状態
"Body Pregnant",妊娠
"Body Profile",プロフィール
"Body Sensitive points",敏感なポイント
Body Pussy,膣
"Confirm Question In Game",タイトルに戻りますか?
"Confirm Question Main Menu",ここから始まりますか？
"In Game Energy",エネルギー
"In Game Inventory",アイテム
"In Game Mai Clothes",Maiの服
"In Game Mai Profile",Maiのプロフィール
"In Game Place",位置
"In Game Setting",設定
"In Game Skill",スキル
"In Game Time",時間
"In Game Money",お金
"Inventory Give",贈る
"Inventory Use",使う
"Inventory Item Amount","x{amount}"
"Item Apron Desc",+100 愛情ポイント
"Item Apron Name",エプロン
"Item Banh Mi Desc",+20 エネルギー
"Item Banh Mi Name",バインミー
"Item Big Teddy Bear Desc",+500 愛情ポイント
"Item Big Teddy Bear Name",大きなテディベア
"Item Bikini Desc",+100 愛情ポイント
"Item Bikini Name",ビキニ
"Item Condom Desc",妊娠を防ぐため
"Item Condom Name",コンドーム
"Item Energy Drink Desc",+10 エネルギー
"Item Energy Drink Name",栄養ドリンク
"Item Flower Desc",+200 愛情ポイント
"Item Flower Name",花
Item Gym Outfit Desc,+100 愛情ポイント
"Item Gym Outfit Name",ジムウェア
Item Lipstick Desc,+100 愛情ポイント
"Item Lipstick Name",口紅
"Item Lunch Desc",+50 エネルギー
"Item Lunch Name",弁当
Item Milk Desc,+5 エネルギー
"Item Milk Name",乳
"Item Rocket Drink Desc",+50 持久力
"Item Rocket Drink Name",ロケットドリンク
"Item Sexy Sleepwear Desc",+100 愛情ポイント
"Item Sexy Sleepwear Name",セクシーパジャマ
"Mai Clothes Wear",着る
"Mai Profile Age Title",年齢
"Mai Profile Body Button",体
"Mai Profile Gender",女性
"Mai Profile Gender Title",性別
"Mai Profile Height",160 cm
"Mai Profile Height Title",身長
"Mai Profile Libido","{amount} ポイント"
"Mai Profile Libido Title",興奮状態
"Mai Profile Libido State 0",興味無し
"Mai Profile Libido State 1",普通
"Mai Profile Libido State 2",セックス覚悟
"Mai Profile Libido State 3",ムラムラする
"Mai Profile Libido State 4",力尽きるまでセックス
"Mai Profile Love","{amount} ポイント"
"Mai Profile Love Level","レベル {level}"
"Mai Profile Love Title",愛情
"Mai Profile Name","Nguyen Thi Thanh Mai"
"Mai Profile Name Title",名前
"Mai Profile Profile",プロフィール
