Key,Text
"MaiGreeting.MG_Node1","What is it, honey?"
"MaiGreeting.MG_Node1.choice.1","Ask her about her day"
"MaiGreeting.MG_Node1.choice.2",Talk about a specific topic
"MaiGreeting.MG_Node1.choice.3","Nevermind"
"MaiDay_Answer1.MDA1_Node1","How's your day anyway?"
"MaiDay_Answer1.MDA1_Node2","It's great. This morning, my colleague gave me a cup of fruit tea. It was delicious."
"MaiDay_Answer1.MDA1_Node2_Choices.choice.1","Ask about her colleague"
"MaiDay_Answer1.MDA1_Node2_Choices.choice.2","Ask about her cup of fruit tea"
"MaiDay_Answer1.MDA1_ColleagueNode","Who was that colleague? Did he say anything besides giving you fruit tea?"
"MaiDay_Answer1.MDA1_ColleagueNode2","He just said, ""Mai, I want to give you this. Consider it as a gift for helping me finish that job yesterday""."
"MaiDay_Answer1.MDA1_ColleagueNode3","What's that? Don't tell me you're jealous?"
"MaiDay_Answer1.MDA1_ColleagueNode4","No... I'm just asking, that's all."
"MaiDay_Answer1.MDA1_FruitTeaNode","What kind of fruit tea is that? Is it the Orange Lemongrass Peach Tea you usually drink?"
"MaiDay_Answer1.MDA1_FruitTeaNode2","No. It's the Lemonade Chia Tea. It's great, you must try it."
"MaiDay_Answer1.MDA1_FruitTeaNode3","I asked my colleague about that place that sells that tea. Would you like some? I'll order some."
"MaiDay_Answer1.MDA1_FruitTeaNode4","Okay. Then please do it, I want to try it, too."
"MaiDay_Answer2.MDA2_Node1","How's your day anyway?"
"MaiDay_Answer2.MDA2_Node2","It was a bad day for me. I was on my way to work when I had an accident, so I had to go get my motorbike fixed."
"MaiDay_Answer2.MDA2_Node3","When the motorbike was fixed, I had to deal with a traffic jam. I was an hour late, and my boss scolded me a lot!"
"MaiDay_Answer2.MDA2_Node3_Choices.choice.1","Ask about the motorbike"
"MaiDay_Answer2.MDA2_Node3_Choices.choice.2","Comfort her"
"MaiDay_Answer2.MDA2_MotorbikeNode","An accident? What happened to the motorbike?"
"MaiDay_Answer2.MDA2_MotorbikeNode2","How much does it cost to fix the motorbike? Let me pay it for you."
"MaiDay_Answer2.MDA2_MotorbikeNode3","I'm fine, just a little scratched. At least the accident happened in a deserted place, not on a main road."
"MaiDay_Answer2.MDA2_MotorbikeNode4","Actually, it was just because my motorbike ran over a nail, then I hit a pothole and fell."
"MaiDay_Answer2.MDA2_MotorbikeNode5","Since I only need to patch the tire, you don't need to pay anything for me."
"MaiDay_Answer2.MDA2_MotorbikeNode6",If you say so.
"MaiDay_Answer2.MDA2_MotorbikeNode7",…
"MaiDay_Answer2.MDA2_ComfortNode","An accident? Are you okay? Did you get hurt somewhere?"
"MaiDay_Answer2.MDA2_ComfortNode2","I'm fine, just a little scratched. At least the accident happened in a deserted place, not on a main road."
"MaiDay_Answer2.MDA2_ComfortNode3","Where's the scratch? On your leg? I see you seem uncomfortable walking today."
"MaiDay_Answer2.MDA2_ComfortNode4",Let me get some medical alcohol.
"MaiDay_Answer2.MDA2_ComfortNode5","There's no need to do that. I disinfected it at the company."
"MaiDay_Answer2.MDA2_ComfortNode6","I looked at her for a moment, then patted her head."
"MaiDay_Answer2.MDA2_ComfortNode7",…
"MaiDay_Answer2.MDA2_ComfortNode8","Have you explained your situation to your boss?"
"MaiDay_Answer2.MDA2_ComfortNode9","I wish if I were there, I would have punched that guy for daring to scold my wife."
"MaiDay_Answer2.MDA2_ComfortNode10","Jeez, don't do that. This … is fine for me."
"MaiDay_Answer3.MDA3_Node1","How's your day anyway?"
"MaiDay_Answer3.MDA3_Node2","Well. No traffic, on time to work, friendly and cheerful colleagues."
"MaiDay_Answer3.MDA3_Node3","Overall, everything is fine."
"MaiDay_Answer3.MDA3_Node3_Choices.choice.1","No more asking"
"MaiDay_Answer3.MDA3_Node3_Choices.choice.2",Watch a movie
"MaiDay_Answer3.MDA3_MovieNode","Wanna watch a movie with me, Mai? I just found this movie, it's really good."
"MaiDay_Answer3.MDA3_MovieNode2","Watching movie? Okay, wait a minute. Let me prepare some snacks."
"MaiDay_Answer3.MDA3_MovieNode3","It's been a long time since we watched a movie."
"MaiSpecificTopic.MST_TopicChoicesNode.choice.1","Mai's Working Hours"
"MaiSpecificTopic.MST_TopicChoicesNode.choice.2",Mai's Job
"MaiSpecificTopic.MST_TopicChoicesNode.choice.3","Mai's Coworkers"
"MaiSpecificTopic.MST_WorkingHoursNode","Mai, can I ask you about this?"
"MaiSpecificTopic.MST_WorkingHoursNode2","What time do you usually go to work?"
"MaiSpecificTopic.MST_WorkingHoursNode3","Why are you suddenly asking about that?"
"MaiSpecificTopic.MST_WorkingHoursNode4","I don't know. Just asking."
"MaiSpecificTopic.MST_WorkingHoursNode5",…
"MaiSpecificTopic.MST_WorkingHoursNode6","From Monday to Friday, I go to work at 7:30 in the morning."
"MaiSpecificTopic.MST_WorkingHoursNode7","So when do you get off work?"
"MaiSpecificTopic.MST_WorkingHoursNode8",5:30 P.M.
"MaiSpecificTopic.MST_WorkingHoursNode9","What about Saturday and Sunday?"
"MaiSpecificTopic.MST_WorkingHoursNode10","I don't have to go to work on those days."
"MaiSpecificTopic.MST_WorkingHoursNode11","Really? I see."
"MaiSpecificTopic.MST_JobNode","I know that you are a normal office worker. But what exactly do you do?"
"MaiSpecificTopic.MST_JobNode2","I am a salesperson."
"MaiSpecificTopic.MST_JobNode3","I simply provide sales consulting to partners/customers."
"MaiSpecificTopic.MST_JobNode4","I see. I heard that sales is very difficult. Is that true?"
"MaiSpecificTopic.MST_JobNode5","Yes its true. If I cant sell anything I wont get any commission. And I will be eliminated from the industry."
"MaiSpecificTopic.MST_JobNode6","But I think every job has its own difficulties."
"MaiSpecificTopic.MST_JobNode7","The important thing is that I know where my strengths are so I can improve my skills in the job."
"MaiSpecificTopic.MST_JobNode8","But maybe this job is quite suitable for me because it seems that customers really like my advice."
"MaiSpecificTopic.MST_JobNode9","But if I have the opportunity I will probably think about starting my own business. If I work as a salesperson for a few more years Ill probably get depressed."
"MaiSpecificTopic.MST_JobNode10","Oh really I hope you quit your job soon so you can start your own business."
"MaiSpecificTopic.MST_JobNode11","Hahaha very funny!"
"MaiSpecificTopic.MST_CoworkersNode","How are your coworkers at work?"
"MaiSpecificTopic.MST_CoworkersNode2","Its okay. In general everyone at work is friendly and cheerful."
"MaiSpecificTopic.MST_CoworkersNode3","Except for a few people."
"MaiSpecificTopic.MST_CoworkersNode4","Except for a few people? Is there anyone who treats you badly?"
"MaiSpecificTopic.MST_CoworkersNode5","Yeah. Some people at work talk behind their backs and some are sloppy and affect the process."
"MaiSpecificTopic.MST_CoworkersNode6","But the person I hate the most at work is definitely the manager in my department."
"MaiSpecificTopic.MST_CoworkersNode7",What about that guy?
"MaiSpecificTopic.MST_CoworkersNode8","Well he repeatedly forces everyone to increase their monthly sales quota. Anyone who doesnt meet the quota will be fired."
"MaiSpecificTopic.MST_CoworkersNode9","Some people meet the quota he requires but they never get a raise. He always coaxes them Try to maintain the target for a few months and youll get a raise."
"MaiSpecificTopic.MST_CoworkersNode10","Thats not all of it. He also harassed some female employees many times."
"MaiSpecificTopic.MST_CoworkersNode11","Wait?!! Harassment? Has he done anything to you?!"
