"SequenceID","NodeType","NodeID","ParentNodeID",ChoiceText,"Speaker","LineText","Animation","AnimFloat","FontStyle","IsMonologue","RewardTarget","RewardStat","RewardAmount","NextNodeID","NextSequenceID","StartingNodeInNextSequence","RandomGoodOutcomeSeqID","RandomNeutralOutcomeSeqID","RandomBadOutcomeSeqID"
"MaiGreeting","SEQUENCE_START",,,,,,,,,,,,,,,,,,
"MaiGreeting","NODE","MG_Node1",,,Mai,,,,,,,,,,,,,,
"MaiGreeting",CHOICE,,"MG_Node1",,"Player",,,,,,,,,,"MaiDayRandom",,,,
"MaiGreeting",CHOICE,,"MG_Node1",,"Player",,,,,,,,,MaiSpecificTopic,"MST_TopicChoicesNode",,,,
"MaiGreeting",CHOICE,,"MG_Node1",,"Player",,,,,,,,,,,,,,
"MaiGreeting","SEQUENCE_END","MG_EndNevermind",,,,,,,,,"Player","Stamina",0,,,,,,
"MaiDayRandom","SEQUENCE_START",,,,,,,,,,,,,,,,"MaiDay_Answer1","MaiDay_Answer2","MaiDay_Answer3"
"MaiDayRandom","SEQUENCE_END",,,,,,,,,,,,,,,,,,
"MaiDay_Answer1","SEQUENCE_START",,,,,,,,,,,,,,,,,,
"MaiDay_Answer1","NODE","MDA1_Node1",,,"Player",,,,,,,,,,,,,,
"MaiDay_Answer1","NODE","MDA1_Node2",,,Mai,,MaiLaugh,0.5,,,,,,"MDA1_Node2_Choices",,,,,
"MaiDay_Answer1","NODE","MDA1_Node2_Choices",,,Mai,,,,,,,,,,,,,,
"MaiDay_Answer1",CHOICE,,"MDA1_Node2_Choices",,"Player",,,,,,,,,"MDA1_ColleagueNode",,,,,
"MaiDay_Answer1",CHOICE,,"MDA1_Node2_Choices",,"Player",,,,,,,,,"MDA1_FruitTeaNode",,,,,
"MaiDay_Answer1","SEQUENCE_END","MDA1_BaseReward",,,,,,,,,"Mai",Love,15,,,,,,
"MaiDay_Answer1","NODE","MDA1_ColleagueNode",,,"Player",,,,,,,,,,,,,,
"MaiDay_Answer1","NODE","MDA1_ColleagueNode2",,,Mai,,MaiTalk,0.2,,,,,,,,,,,
"MaiDay_Answer1","NODE","MDA1_ColleagueNode3",,,Mai,,MaiSmileTeeth,0.5,,,,,,,,,,,
