Key,Text
"MaiGreeting.MG_Node1",どうしたの？
"MaiGreeting.MG_Node1.choice.1",今日のことを聞く
"MaiGreeting.MG_Node1.choice.2",特定の話題について話す
"MaiGreeting.MG_Node1.choice.3",気にしないで
"MaiDay_Answer1.MDA1_Node1",今日はどうでしたか？
"MaiDay_Answer1.MDA1_Node2",とても良かったです。今朝、同僚がフルーツティーをくれて、とても美味しかったんです。
"MaiDay_Answer1.MDA1_Node2_Choices.choice.1",同僚について聞く
"MaiDay_Answer1.MDA1_Node2_Choices.choice.2",フルーツティーについて聞く
"MaiDay_Answer1.MDA1_ColleagueNode",その同僚は誰ですか？フルーツティーをくれる以外に何か言いましたか？
"MaiDay_Answer1.MDA1_ColleagueNode2",「マイ、これをあげたいんだ。昨日の仕事を手伝ってくれたお礼として考えてくれ」と言っただけです。
"MaiDay_Answer1.MDA1_ColleagueNode3",何ですか？まさか嫉妬してるんですか？
"MaiDay_Answer1.MDA1_ColleagueNode4",いいえ...ただ聞いただけです。それだけです。
"MaiDay_Answer1.MDA1_FruitTeaNode",どんなフルーツティーですか？いつも飲んでいるオレンジレモングラスピーチティーですか？
"MaiDay_Answer1.MDA1_FruitTeaNode2",いいえ、レモネードチアティーです。とても美味しいので、ぜひ試してみてください。
"MaiDay_Answer1.MDA1_FruitTeaNode3",同僚にそのお茶を売っている場所について聞きました。飲みたいですか？注文しますよ。
"MaiDay_Answer1.MDA1_FruitTeaNode4",はい。それならお願いします、私も試してみたいです。
"MaiDay_Answer2.MDA2_Node1",今日はどうでしたか？
"MaiDay_Answer2.MDA2_Node2",私にとっては悪い一日でした。仕事に行く途中で事故に遭い、バイクを修理に出さなければなりませんでした。
"MaiDay_Answer2.MDA2_Node3",バイクが修理できた時、交通渋滞に巻き込まれました。1時間遅刻して、上司にたくさん叱られました！
"MaiDay_Answer2.MDA2_Node3_Choices.choice.1",バイクについて聞く
"MaiDay_Answer2.MDA2_Node3_Choices.choice.2",彼女を慰める
"MaiDay_Answer2.MDA2_MotorbikeNode",事故ですか？バイクに何が起こったのですか？
"MaiDay_Answer2.MDA2_MotorbikeNode2",バイクの修理代はいくらですか？私が払わせてください。
"MaiDay_Answer2.MDA2_MotorbikeNode3",私は大丈夫です、少し擦っただけです。少なくとも事故は人里離れた場所で起こったので、大通りではありませんでした。
"MaiDay_Answer2.MDA2_MotorbikeNode4",実際、バイクが釘を踏んでしまい、その後穴にぶつかって転んだだけです。
"MaiDay_Answer2.MDA2_MotorbikeNode5",タイヤにパッチを当てるだけなので、私のために何も払う必要はありません。
"MaiDay_Answer2.MDA2_MotorbikeNode6",あなたがそう言うなら。
"MaiDay_Answer2.MDA2_MotorbikeNode7",…
"MaiDay_Answer2.MDA2_ComfortNode",事故ですか？大丈夫ですか？どこか怪我をしましたか？
"MaiDay_Answer2.MDA2_ComfortNode2",私は大丈夫です、少し擦っただけです。少なくとも事故は人里離れた場所で起こったので、大通りではありませんでした。
"MaiDay_Answer2.MDA2_ComfortNode3",擦り傷はどこですか？脚ですか？今日は歩くのが不自由そうですね。
"MaiDay_Answer2.MDA2_ComfortNode4",消毒用アルコールを取ってきます。
"MaiDay_Answer2.MDA2_ComfortNode5",その必要はありません。会社で消毒しました。
"MaiDay_Answer2.MDA2_ComfortNode6",（私は彼女を少し見つめてから、彼女の頭を撫でた。）
"MaiDay_Answer2.MDA2_ComfortNode7",…
"MaiDay_Answer2.MDA2_ComfortNode8",上司に状況を説明しましたか？
"MaiDay_Answer2.MDA2_ComfortNode9",私がそこにいたら、私の妻を叱る勇気があるその男を殴っていたでしょう。
"MaiDay_Answer2.MDA2_ComfortNode10",ちょっと、そんなことしないで。これは...私には大丈夫です。
"MaiDay_Answer3.MDA3_Node1",今日はどうでしたか？
"MaiDay_Answer3.MDA3_Node2",そうですね。渋滞もなく、時間通りに仕事に行き、親しみやすく陽気な同僚たちです。
"MaiDay_Answer3.MDA3_Node3",全体的に、すべてが順調です。
"MaiDay_Answer3.MDA3_Node3_Choices.choice.1",これ以上聞かない
"MaiDay_Answer3.MDA3_Node3_Choices.choice.2",映画を見る
"MaiDay_Answer3.MDA3_MovieNode",マイ、一緒に映画を見ませんか？この映画を見つけたばかりで、本当に良いんです。
"MaiDay_Answer3.MDA3_MovieNode2",映画を見る？わかりました、ちょっと待ってください。お菓子を準備させてください。
"MaiDay_Answer3.MDA3_MovieNode3",映画を見るのは久しぶりですね。
"MaiSpecificTopic.MST_TopicChoicesNode.choice.1",マイの勤務時間
"MaiSpecificTopic.MST_TopicChoicesNode.choice.2",マイの仕事
"MaiSpecificTopic.MST_TopicChoicesNode.choice.3",マイの同僚
"MaiSpecificTopic.MST_WorkingHoursNode",マイ、これについて聞いてもいいですか？
"MaiSpecificTopic.MST_WorkingHoursNode2",普段何時に仕事に行きますか？
"MaiSpecificTopic.MST_WorkingHoursNode3",なぜ急にそのことを聞くのですか？
"MaiSpecificTopic.MST_WorkingHoursNode4",わかりません。ただ聞いているだけです。
"MaiSpecificTopic.MST_WorkingHoursNode5",…
"MaiSpecificTopic.MST_WorkingHoursNode6",月曜日から金曜日まで、午前7時30分に仕事に行きます。
"MaiSpecificTopic.MST_WorkingHoursNode7",では、いつ仕事が終わりますか？
"MaiSpecificTopic.MST_WorkingHoursNode8",午後5時30分です。
"MaiSpecificTopic.MST_WorkingHoursNode9",土曜日と日曜日はどうですか？
"MaiSpecificTopic.MST_WorkingHoursNode10",その日は仕事に行く必要がありません。
"MaiSpecificTopic.MST_WorkingHoursNode11",本当ですか？分かりました。
"MaiSpecificTopic.MST_JobNode",あなたが普通のサラリーマンだということは知っています。でも具体的に何をしているのですか？
"MaiSpecificTopic.MST_JobNode2",私は営業です。
"MaiSpecificTopic.MST_JobNode3",私は単にパートナー/顧客に営業コンサルティングを提供しています。
"MaiSpecificTopic.MST_JobNode4",そうですね。営業はとても難しいと聞きました。それは本当ですか？
"MaiSpecificTopic.MST_JobNode5",はい、その通りです。何も売れなければ手数料はもらえません。そして業界から排除されるでしょう。
"MaiSpecificTopic.MST_JobNode6",でも、どの仕事にもそれぞれの困難があると思います。
"MaiSpecificTopic.MST_JobNode7",重要なのは、自分の強みがどこにあるかを知って、仕事のスキルを向上させることです。
"MaiSpecificTopic.MST_JobNode8",でも、この仕事は私にとって適しているかもしれません。顧客が私のアドバイスを本当に気に入っているようだからです。
"MaiSpecificTopic.MST_JobNode9",でも、もし機会があれば、自分でビジネスを始めることを考えるでしょう。営業としてあと数年働いたら、おそらく鬱になるでしょう。
"MaiSpecificTopic.MST_JobNode10",本当ですか。あなたが早く仕事を辞めて、自分のビジネスを始められることを願っています。
"MaiSpecificTopic.MST_JobNode11",ハハハ、とても面白い！
"MaiSpecificTopic.MST_CoworkersNode",職場の同僚はどうですか？
"MaiSpecificTopic.MST_CoworkersNode2",大丈夫です。一般的に職場のみんなは親しみやすく陽気です。
"MaiSpecificTopic.MST_CoworkersNode3",数人を除いて。
"MaiSpecificTopic.MST_CoworkersNode4",数人を除いて？あなたをひどく扱う人はいますか？
"MaiSpecificTopic.MST_CoworkersNode5",そうですね。職場では陰で悪口を言う人もいれば、だらしなくてプロセスに影響を与える人もいます。
"MaiSpecificTopic.MST_CoworkersNode6",でも、職場で一番嫌いなのは、間違いなく私の部署のマネージャーです。
"MaiSpecificTopic.MST_CoworkersNode7",その人はどうですか？
"MaiSpecificTopic.MST_CoworkersNode8",そうですね、彼は皆に月間売上ノルマを増やすよう繰り返し強制します。ノルマを満たさない人は解雇されます。
"MaiSpecificTopic.MST_CoworkersNode9",彼の要求するノルマを満たす人もいますが、昇給することはありません。彼はいつも「数ヶ月目標を維持すれば昇給する」と甘い言葉で誘います。
"MaiSpecificTopic.MST_CoworkersNode10",それだけではありません。彼は何度も女性従業員にセクハラをしました。
"MaiSpecificTopic.MST_CoworkersNode11",待って？！！ハラスメント？彼はあなたに何かしましたか？！
"MaiSpecificTopic.MST_CoworkersNode12",いいえ。まだです。なぜかわかりません。
"MaiSpecificTopic.MST_CoworkersNode13",おそらく、私がいつも彼の望むノルマを満たしていて、みんなからも愛されているからでしょう。
"MaiSpecificTopic.MST_CoworkersNode14",なぜ上司に報告しないのですか？
"MaiSpecificTopic.MST_CoworkersNode15",すでに報告しました。でも上司は気にしていないようです。
"MaiSpecificTopic.MST_CoworkersNode16",おそらく、彼は常に上司の要求に従って仕事を完遂するので、彼らは彼に何もしないのでしょう。
