"SequenceID","NodeType","NodeID","ParentNodeID",ChoiceText,"Speaker","LineText","CGSpritePath","FontStyle","IsMonologue","RewardTarget","RewardStat","RewardAmount","NextNodeID","NextSequenceID","StartingNodeInNextSequence"
"Intro","SEQUENCE_START",,,,,,,,,,,,,,
"Intro","NODE","Node1",,,"Player",,,,,,,,,,
"Intro","NODE","Node2",,,Mai,,,,,,,,,,
"Intro","NODE","Node3",,,"Player",,,,,,,,,,
"Intro","NODE","Node4",,,Mai,,,,,,,,,,
"Intro","NODE","Node5",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_1.png",,,,,,,,
"Intro","NODE","Node6",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_2.png",,,,,,,,
"Intro","NODE","Node7",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_3.png",,,,,,,,
"Intro","NODE","Node8",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_3.png",,,,,,,,
"Intro","NODE","Node9",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_4.png",,,,,,,,
"Intro","NODE","Node10",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_4.png",,,,,,,,
"Intro","NODE","Node11",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_5.png",,,,,,,,
"Intro","NODE","Node12",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_6.png",,,,,,,,
"Intro","NODE","Node13",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_6.png",,"TRUE",,,,,,
"Intro","NODE","Node13_Choices",,,Mai,,,,"TRUE",,,,,,
"Intro",CHOICE,,"Node13_Choices",,"Player",,,,,,,,"Node1_Surprise",,
"Intro",CHOICE,,"Node13_Choices",,"Player",,,,,,,,"Node1_WhatIsThat",,
"Intro","NODE","Node1_Surprise",,,"Player",,"Assets/Image/CG/Opening Scene/Opening_6.png",,,,,,,,
"Intro","NODE","Node2_Surprise",,,,,"Assets/Image/CG/Opening Scene/Opening_6.png",,"TRUE",,,,,,
"Intro","NODE","Node3_Surprise",,,Mai,,"Assets/Image/CG/Opening Scene/Opening_7.png",,,,,,,,
