Key,English,Vietnamese,Japanese
Body Butthole,Butthole,Hậu Môn,肛門
Body Body Status,Body Status,Tình Trạng Cơ Thể,身体状態
Body Boobs,Boobs,Ngực,おっぱい
Body Lewd Level Title,Lewd Level,Độ dâm cấp,淫乱度Lv.
Body Mouth,Mouth,Miệng,口
Body Not Pregnant,Not pregnant,Chưa có thai,未妊娠
Body Point,Points,Điểm,ポイント
Body Pregnancy Status,"Pregnancy Status","Tình Trạng Thai",妊娠状態
Body Pregnant,Pregnant,Đã có thai,妊娠
Body Profile,Profile,Hồ Sơ,プロフィール
Body Sensitive points,Sensitive points,Điểm nhạy cảm,敏感なポイント
Body Pussy,Pussy,Âm Đạo,膣
Confirm Question In Game,Back to Title ?,Trở về Tiêu đề Game ?,タイトルに戻りますか?
Confirm Question Main Menu,Start from here ?,Bắt đầu từ số 0 ?,ここから始まりますか？
In Game Energy,Energy,Năng Lượng,エネルギー
In Game Inventory,Inventory,Túi Đồ,アイテム
In Game Mai Clothes,Mai Clothes,Quần Áo Mai,Maiの服
In Game Mai Profile,Mai Profile,Hồ Sơ Mai,Maiのプロフィール
In Game Place,Place,Địa Điểm,位置
In Game Setting,Setting,Cài Đặt,設定
In Game Skill,Skill,Kĩ Năng,スキル
In Game Time,Time,Thời Gian,時間
In Game Money,Money,Tiền,お金
Inventory Give,Give,Cho,贈る
Inventory Use,Use,Dùng,使う
Item Apron Desc,+100 Love Points,+100 Điểm Tình Cảm,+100 愛情ポイント
Item Apron Name,Apron,Tạp Dề,エプロン
Item Banh Mi Desc,+20 Energy,+20 Năng Lượng,+20 エネルギー
Item Banh Mi Name,Banh Mi,Bánh Mì,バインミー
Item Big Teddy Bear Desc,+500 Love Points,+500 Điểm Tình Cảm,+500 愛情ポイント
Item Big Teddy Bear Name,Big Teddy Bear,Gấu Bông Siêu To,大きなテディベア
Item Bikini Desc,+100 Love Points,+100 Điểm Tình Cảm,+100 愛情ポイント
Item Bikini Name,Bikini,Bikini,ビキニ
Item Condom Desc,For prevent pregnancy,Ngăn ngừa có thai,妊娠を防ぐため
Item Condom Name,Condom,Bao Cao Su,コンドーム
Item Energy Drink Desc,+10 Energy,+10 Năng Lượng,+10 エネルギー
Item Energy Drink Name,Energy Drink,Nước Tăng Lực,栄養ドリンク
Item Flower Desc,+200 Love Points,+200 Điểm Tình Cảm,+200 愛情ポイント
Item Flower Name,Flower,Hoa,花
Item Gym Outfit Desc,+100 Love Points,+100 Điểm Tình Cảm,+100 愛情ポイント
Item Gym Outfit Name,Gym Outfit,Đồ Tập Gym,ジムウェア
Item Lipstick Desc,+100 Love Points,+100 Điểm Tình Cảm,+100 愛情ポイント
Item Lipstick Name,Lipstick,Thỏi Son,口紅
Item Lunch Desc,+50 Energy,+50 Năng Lượng,+50 エネルギー
Item Lunch Name,Lunch,Cơm Hộp,弁当
Item Milk Desc,+5 Energy,+5 Năng Lượng,+5 エネルギー
Item Milk Name,Milk,Sữa,乳
Item Rocket Drink Desc,+50 Stamina,+50 Sức Bền,+50 持久力
Item Rocket Drink Name,Rocket Drink,Rocket 1 Giờ,ロケットドリンク
Item Sexy Sleepwear Desc,+100 Love Points,+100 Điểm Tình Cảm,+100 愛情ポイント
Item Sexy Sleepwear Name,Sexy Sleepwear,Đồ Ngủ Gợi Cảm,セクシーパジャマ
Mai Clothes Wear,Wear,Mặc,着る
Mai Profile Age Title,Age,Tuổi,年齢
Mai Profile Body Button,Body,Cơ Thể,体
Mai Profile Gender,Female,Nữ,女性
Mai Profile Gender Title,Gender,Giới Tính,性別
Mai Profile Height,160 cm,160 cm,160 cm
Mai Profile Height Title,Height,Chiều Cao,身長
Mai Profile Libido, {amount} Points,{amount} Điểm,{amount} ポイント
Mai Profile Libido Title,Horny Status,Trạng Thái Nứng,興奮状態
Mai Profile Libido State 0,Not interested,Không hứng thú,興味無し
Mai Profile Libido State 1,Normal,Bình thường,普通
Mai Profile Libido State 2,Ready to have sex,Sẵn sàng chịch,セックス覚悟
Mai Profile Libido State 3,Horny,Nứng,ムラムラする
Mai Profile Libido State 4,Craving for cock,Vắt cực khô,力尽きるまでセックス
Mai Profile Love,{amount} Points,{amount} Điểm,{amount} ポイント
Mai Profile Love Level,Level {level},Cấp {level},レベル {level}
Mai Profile Love Title,Love,Tình Cảm,愛情
Mai Profile Name,Nguyen Thi Thanh Mai,Nguyễn Thị Thanh Mai,Nguyen Thi Thanh Mai
Mai Profile Name Title,Name,Tên,名前
Mai Profile Profile,Profile,Hồ Sơ,プロフィール
Mai Profile Relationship Status,Relationship Status,Tình Trạng Quan Hệ,関係
Mai Profile Three Sizes,95/58/93,95/58/93,95/58/93
Mai Profile Three Sizes Title,Three sizes,3 Vòng,スリーサイズ
Mai Profile Weight,55 kg,55 kg,55 kg
Mai Profile Weight Title,Weight,Cân Nặng,重さ
New Game Placeholder,Player,Player,Player
Notice I don't wanna go out at this time,I don't wanna go out at this time,Mình không muốn ra ngoài vào giờ này,この時間に外へ出たくない
Notice It's not my working hours at this time,It's not my working hours at this time,Hiện tại không phải là giờ làm việc của mình,今は仕事の時間ではない
Place Company,Company,Công Ty,会社
Place Hiep Mart,Hiep Mart,Hiep Mart,Hiep Mart
Place Home,Home,Nhà,家
Place Park,Park,Công Viên,公園
Setting Language,Language,Ngôn ngữ,言語
Setting Music,Music,Nhạc,音楽
Setting Return,Title,Tiêu đề,タイトル
Setting Save Game,Save Game,Lưu Game,セーブゲーム
Setting Screen,Screen,Màn hình,画面
Setting Screen Full Screen,Full Screen,Toàn màn hình,全画面表示
Setting Screen Window,Window,Cửa sổ,ウィンドウ
Setting Sound,Sound,Âm thanh,音
Setting Title,Setting,Cài Đặt,設定
Setting Voice,Voice,Lồng tiếng,声
Shop Buy,Buy,Mua,買う
Shop Tab Gifts,Gifts,Quà,贈り物
Shop Tab Goods,Goods,Đồ dùng,品
Skill Age Title,Age,Tuổi,年齢
Skill Energy Title,Energy,Năng Lượng,エネルギー
Skill Big Dick Description,Energy points are consumed for each time you use your dick,Điểm năng lượng bị tiêu hao sau mỗi lần bạn dùng cặc,ちんぽを使うたびに消費されるエネルギーポイント
Skill Big Dick Title,Big Dick,Cặc To,大ちんぽ
Skill Charming,Charming,Quyến Rũ,魅力
Skill Gender,Male,Nam,男性
Skill Gender Title,Gender,Giới Tính,性別
Skill Long Night Description,Percentage of pregnant for each time you cum inside her without a condom,Phần trăm có thai sau mỗi lần bạn bắn vào trong Mai mà không đeo bao cao su,ゴムなしでマイに中出しするたびの妊娠確率
Skill Long Night Title,Long Night,Có thai đi!,孕め！
Skill Hmm...Delicious Description,Make Mai orgasm with your mouth/tongue,Làm Mai lên đỉnh bằng miệng/lưỡi của bạn,口・舌でマイを絶頂させる
Skill Hmm...Delicious Title,Hmm...Delicious!,Hmm...Ngon!,うん、うまい！
Skill I need more bullet! Description,Number of times you can cum,Số lần bạn có thể ra,射精できる回数
Skill I need more bullet! Title,I need more bullet!,Anh cần thêm đạn!,もっと撃てる回数が欲しい！
Skill I'm bout to CUM Description,Percentage of your cumming with each time you put your dick inside her,Phần trăm bạn sẽ ra sau mỗi lần đút cặc vào trong lồn của Mai,マイのまんこにちんぽを入れるたびに射精する確率
Skill I'm bout to CUM Title,I'm bout to CUM!,Ăn ba tô CƠM!,もう射精するわ!
Skill Knowledge,Knowledge,Kiến Thức,知識
Skill Magic Hand Description,Make Mai orgasm with your hand,Làm Mai lên đỉnh bằng tay của bạn,手でマイを絶頂させる
Skill Magic Hand Title,Magic Hand,Bàn Tay Ảo Lòn,マジックハンド
Skill Max Energy,Max Energy,Năng Lượng Tối Đa,マックスエネルギー
Skill Name,Name,Tên,名前
Skill Necessary Points,Necessary Points,Điểm Cần Thiết,必要ポイント
Skill Points,Points,Điểm,ポイント
Skill Profile,Profile,Hồ Sơ,プロフィール
Skill Sex Points,Sex Points,Điểm Tình Dục,セックスポイント
Skill Sex Skill 1,Sex Skill 1,Kỹ Năng Làm Tình 1,エッチ
Skill Sex Skill 2,Sex Skill 2,Kỹ Năng Làm Tình 2,エッチ
Skill Sex Scene,Sex Scene,Tư thế,体位
Skill Skill,Skill,Kĩ Năng,スキル
"Skill You like anal, don't you ? Description",Make Mai orgasm with your dick in her anal,Đụ đít Mai lên đỉnh bằng cặc của bạn,ちんぽでマイのアナルを突いて絶頂させる
"Skill You like anal, don't you ? Title","You like anal, don't you?",Thích đụ đít hông?,アナル好きかな？
"Skill You like my dick, huh ? Description",Make Mai orgasm with your dick in her pussy,Đụ lồn Mai lên đỉnh bằng cặc của bạn,ちんぽでマイのまんこを突いて絶頂させる
"Skill You like my dick, huh ? Title","You like my dick, huh?",Thích cặc anh hông?,俺のちんぽが好きかな？
Skill Stamina Title,Stamina,Thể Lực,スタミナ
Start Confirm No,No,Không,いいえ
Start Confirm Question,Start from here ?,Bắt đầu từ đây,ここから始まりますか？
Start Confirm Yes,Yes,Vâng,はい
Start Credit Background Illustrator,Background Illustrator,Minh họa bối cảnh,背景イラストレーター
Start Credit Button,Credit,Nhân Sự,クレジット
Start Credit Dev 1,Developer,Lập trình Game,プログラマー
Start Credit Dev 2,Developer,Lập trình Game,プログラマー
Start Credit Music,Music,Nhạc Game,音楽
Start Credit Staff Voice,Staff Voice,Giọng nhân viên,スタッフの声
Start Credit Title,Credit,Nhân sự,クレジット
Start Credit Voice Actress,Voice Actress,Diễn viên lồng tiếng,声優
Start Credit Write & Illustrator,Write & Illustrator,Kịch bản & Minh họa,作家&イラストレーター
Start Load Game Button,Load Game,Tải Game,ロードゲーム
Start Load Game Quick Save,Quick Save,Lưu nhanh,クイックセーブ
Start Load Game Save No,Save {0},Lưu Game {0},保存 {0}
Start Load Game Slot Info,Day {day} - {time},Ngày {day} - {time},{day}日 - {time}
Start Load Game Delete Question,Delete this save?,Xóa lưu game này？,このセーブを削除しますか？
Start Load Game Delete Yes,Delete,Xóa,削除
Start Load Game Title,Load Game,Tải Game,ロードゲーム
Start Save Game Title,Save Game,Lưu Game,セーブゲーム
Start Save Game Overwrite Question,Overwrite this save?,Ghi đè lưu game này？,このセーブを上書きしますか？
Start Save Game Overwrite Yes,Overwrite,Ghi đè,上書き
Start New Game Button,New Game,Bắt đầu,ニューゲーム
Start New Game Panel Confirm Button,Confirm,Xác nhận,確認
Start New Game Panel Title,Please name yourself,Điền tên của bạn vào đây,名前を入力してください
Start Quit Button,Quit,Thoát,終了
Start Scene Button,Scene,Cảnh Game,シーン
Start Scene Ending,Ending,Cảnh kết,エンディング
Start Scene Ending No,Ending {0},Cảnh kết {0},エンディング {0}
Start Scene Event,Event,Sự kiện,イベント
Start Scene Event No,Event {0},Sự kiện {0},イベント {0}
Start Scene Title,Scene Unlock,Cảnh mở khóa,シーンをアンロックする
Start Setting Button,Setting,Cài Đặt,設定
UI ItemPrice,Money: {amount},Tiền: {amount},お金: {amount}
Notice Item Unavailable,Item is not available!,Vật phẩm không có sẵn!,アイテムは利用できません！
Notice Load Failed,Failed to load this save!,Không tải được lưu game này！,セーブのロードに失敗しました！
Notice Game Saved,Game saved!,Đã lưu game！,ゲームを保存しました！
Notice Save Failed,Failed to save the game!,Không lưu được game！,セーブに失敗しました！
Notice Not Enough Money,Not enough money!,Không đủ tiền!,お金が足りません！
Notice Not Enough Sex Points,Not enough Sex Points!,Không đủ Điểm Tình Dục!,セックスポイントが足りません！
Notice Skill Max Level,This skill is already at max level!,Kỹ năng này đã đạt cấp tối đa!,このスキルは既に最大レベルです！
Notice Skill Min Level,Cannot downgrade this skill further!,Không thể hạ cấp kỹ năng này thêm nữa!,このスキルをこれ以上下げることはできません！
Notice Purchase Failed,Purchase failed!,Mua thất bại!,購入に失敗しました！
Notice Save Slot Empty,This save slot is empty!,Ô lưu game này trống！,このセーブスロットは空です！
Notice Area Restricted,I don't want to go out at this time,Tôi không muốn ra ngoài lúc này,今は外出したくない
Action Sleep,Sleep,Ngủ,寝る
Action Eating,Eat,Ăn,食べる
Action Sex,Sex,Quan hệ,セックス
Action Working,Work,Làm việc,働く
Action Talking,Talk,Nói chuyện,話す
Action Exercise,Exercise,Tập thể dục,運動する
Action Progress,Progress,Tiến độ,進捗
In Game DayOfWeek Sunday,Sunday,Chủ Nhật,日曜日
In Game DayOfWeek Monday,Monday,Thứ Hai,月曜日
In Game DayOfWeek Tuesday,Tuesday,Thứ Ba,火曜日
In Game DayOfWeek Wednesday,Wednesday,Thứ Tư,水曜日
In Game DayOfWeek Thursday,Thursday,Thứ Năm,木曜日
In Game DayOfWeek Friday,Friday,Thứ Sáu,金曜日
In Game DayOfWeek Saturday,Saturday,Thứ Bảy,土曜日
Action Confirm Stat Change,{amount} {stat},{amount} {stat},{amount} {stat}
Action Confirm Sleep Initial Header,"I'm tired, I need to sleep","Tôi mệt rồi, cần phải ngủ",疲れた、寝なきゃ
Action Confirm Sleep Nap Button,Take a nap,Ngủ trưa,仮眠を取る
Action Confirm Sleep DeepSleep Button,Sweet dream...,Ngủ ngon...,良い夢を...
Action Confirm Sleep Cancel Button,"Nope, I'm still awake","Không, tôi vẫn còn tỉnh",いや、まだ起きてる
Action Confirm Sleep Nap Header,I will wake up in an hour,Tôi sẽ thức dậy sau một giờ,1時間後に起きる
