Key,Text
Body Butthole,Butthole
Body Body Status,Body Status
Body Boobs,Boobs
Body Lewd Level Title,Lewd Level
Body Mouth,Mouth
"Body Not Pregnant","Not pregnant"
"Body Point","Points"
"Body Pregnancy Status","Pregnancy Status"
"Body Pregnant","Pregnant"
"Body Profile","Profile"
"Body Sensitive points","Sensitive points"
Body Pussy,Pussy
"Confirm Question In Game",Back to Title ?
"Confirm Question Main Menu","Start from here ?"
"In Game Energy","Energy"
"In Game Inventory","Inventory"
"In Game Mai Clothes",Mai Clothes
"In Game Mai Profile","Mai Profile"
"In Game Place",Place
"In Game Setting","Setting"
"In Game Skill",Skill
"In Game Time",Time
"In Game Money","Money"
"Inventory Give",Give
"Inventory Use",Use
"Inventory Item Amount","x{amount}"
"Item Apron Desc","+100 Love Points"
"Item Apron Name","Apron"
"Item Banh Mi Desc","+20 Energy"
"Item Banh Mi Name","Banh Mi"
"Item Big Teddy Bear Desc","+500 Love Points"
"Item Big Teddy Bear Name","Big Teddy Bear"
"Item Bikini Desc","+100 Love Points"
"Item Bikini Name","Bikini"
"Item Condom Desc","For prevent pregnancy"
"Item Condom Name","Condom"
"Item Energy Drink Desc","+10 Energy"
"Item Energy Drink Name","Energy Drink"
"Item Flower Desc","+200 Love Points"
"Item Flower Name","Flower"
Item Gym Outfit Desc,"+100 Love Points"
"Item Gym Outfit Name",Gym Outfit
Item Lipstick Desc,"+100 Love Points"
"Item Lipstick Name",Lipstick
"Item Lunch Desc","+50 Energy"
"Item Lunch Name","Lunch"
Item Milk Desc,"+5 Energy"
"Item Milk Name",Milk
"Item Rocket Drink Desc","+50 Stamina"
"Item Rocket Drink Name","Rocket Drink"
"Item Sexy Sleepwear Desc","+100 Love Points"
"Item Sexy Sleepwear Name","Sexy Sleepwear"
"Mai Clothes Wear","Wear"
"Mai Profile Age Title",Age
"Mai Profile Body Button",Body
"Mai Profile Gender",Female
"Mai Profile Gender Title","Gender"
"Mai Profile Height",160 cm
"Mai Profile Height Title",Height
"Mai Profile Libido","{amount} Points"
"Mai Profile Libido Title","Horny Status"
"Mai Profile Libido State 0","Not interested"
"Mai Profile Libido State 1","Normal"
"Mai Profile Libido State 2","Ready to have sex"
"Mai Profile Libido State 3","Horny"
"Mai Profile Libido State 4","Craving for cock"
"Mai Profile Love","{amount} Points"
"Mai Profile Love Level","Level {level}"
"Mai Profile Love Title",Love
"Mai Profile Name","Nguyen Thi Thanh Mai"
"Mai Profile Name Title","Name"
"Mai Profile Profile","Profile"
"Mai Profile Relationship Status","Relationship Status"
"Mai Profile Three Sizes",95/58/93
"Mai Profile Three Sizes Title","Three sizes"
"Mai Profile Weight",55 kg
"Mai Profile Weight Title",Weight
"New Game Placeholder","Player"
"Notice I don't wanna go out at this time","I don't wanna go out at this time"
"Notice It's not my working hours at this time","It's not my working hours at this time"
"Place Company","Company"
"Place Hiep Mart","Hiep Mart"
Place Home,Home
"Place Park","Park"
"Setting Language","Language"
"Setting Load Game","Load Game"
"Setting Music",Music
"Setting Return",Title
"Setting Save Game",Save Game
"Setting Screen","Screen"
"Setting Screen Full Screen","Full Screen"
"Setting Screen Window","Window"
"Setting Sound","Sound"
"Setting Tab Audio",Audio
"Setting Tab Display",Display
"Setting Tab System",System
"Setting Title","Setting"
"Setting Voice",Voice
Shop Buy,Buy
Shop Tab Gifts,Gifts
Shop Tab Goods,Goods
Skill Age Title,Age
"Skill Energy Title","Energy"
"Skill Big Dick Description","Energy points are consumed for each time you use your dick"
Skill Big Dick Title,Big Dick
"Skill Charming","Charming"
"Skill Gender",Male
"Skill Gender Title","Gender"
"Skill Long Night Description","Percentage of pregnant for each time you cum inside her without a condom"
"Skill Long Night Title","Long Night"
"Skill Hmm...Delicious Description","Make Mai orgasm with your mouth/tongue"
Skill Hmm...Delicious Title,Hmm...Delicious!
"Skill I need more bullet! Description","Number of times you can cum"
"Skill I need more bullet! Title","I need more bullet!"
"Skill I'm bout to CUM Description","Percentage of your cumming with each time you put your dick inside her"
Skill I'm bout to CUM Title,I'm bout to CUM!
"Skill Knowledge","Knowledge"
"Skill Magic Hand Description","Make Mai orgasm with your hand"
"Skill Magic Hand Title","Magic Hand"
"Skill Max Energy","Max Energy"
"Skill Name","Name"
"Skill Necessary Points","Necessary Points"
"Skill Points","Points"
"Skill Profile","Profile"
"Skill Sex Points","Sex Points"
Skill Sex Skill 1,Sex Skill 1
Skill Sex Skill 2,Sex Skill 2
"Skill Sex Scene","Sex Scene"
Skill Skill,Skill
"Skill You like anal, don't you ? Description","Make Mai orgasm with your dick in her anal"
"Skill You like anal, don't you ? Title","You like anal, don't you?"
"Skill You like my dick, huh ? Description","Make Mai orgasm with your dick in her pussy"
"Skill You like my dick, huh ? Title","You like my dick, huh?"
"Skill Stamina Title","Stamina"
"Start Confirm No","No"
"Start Confirm Question","Start from here ?"
"Start Confirm Yes",Yes
"Start Credit Background Illustrator","Background Illustrator"
"Start Credit Button","Credit"
"Start Credit Dev 1","Developer"
"Start Credit Dev 2","Developer"
"Start Credit Music",Music
"Start Credit Staff Voice",Staff Voice
"Start Credit Title","Credit"
"Start Credit Voice Actress","Voice Actress"
"Start Credit Write & Illustrator","Write & Illustrator"
"Start Load Game Button",Load Game
"Start Load Game Quick Save",Quick Save
"Start Load Game Save No",Save {0}
"Start Load Game Slot Info",Day {day} - {time}
"Start Load Game Delete Question",Delete this save?
"Start Load Game Delete Yes",Delete
"Start Load Game Title",Load Game
"Start Save Game Title",Save Game
"Start Save Game Auto Save",Auto Save
"Start Save Game Overwrite Question","Overwrite this save?"
"Start Save Game Overwrite Yes",Overwrite
"Start New Game Button","New Game"
"Start New Game Panel Confirm Button","Confirm"
"Start New Game Panel Title","Please name yourself"
"Start Quit Button",Quit
"Start Scene Button","Scene"
"Start Scene Ending","Ending"
"Start Scene Ending No","Ending {0}"
"Start Scene Event","Event"
"Start Scene Event No","Event {0}"
"Start Scene Title","Scene Unlock"
"Start Setting Button","Setting"
"UI ItemPrice","Money: {amount}"
"Notice Item Unavailable","Item is not available!"
"Notice Game Saved","Game saved!"
"Notice Save Failed","Failed to save the game!"
"Notice Load Failed","Failed to load this save!"
"Notice Not Enough Money","Not enough money!"
"Notice Save Slot Empty","This save slot is empty!"
"Notice Not Enough Sex Points","Not enough Sex Points!"
"Notice Skill Max Level","This skill is already at max level!"
"Notice Skill Min Level","Cannot downgrade this skill further!"
"Notice Purchase Failed","Purchase failed!"
"Notice Area Restricted","I don't want to go out at this time"
"Action Sleep",Sleep
"Action Eating",Eat
"Action Sex",Sex
"Action Working","Work"
"Action Talking",Talk
"Action Exercise","Exercise"
"Action Progress","Progress"
"In Game DayOfWeek Sunday","Sunday"
"In Game DayOfWeek Monday","Monday"
"In Game DayOfWeek Tuesday",Tuesday
"In Game DayOfWeek Wednesday","Wednesday"
"In Game DayOfWeek Thursday","Thursday"
"In Game DayOfWeek Friday","Friday"
"In Game DayOfWeek Saturday","Saturday"
"Action Confirm Stat Change","{amount} {stat}"
"Action Confirm Sleep Initial Header","I'm tired, I need to sleep"
"Action Confirm Sleep Nap Button","Take a nap"
"Action Confirm Sleep DeepSleep Button","Sweet dream..."
"Action Confirm Sleep Cancel Button","Nope, I'm still awake"
"Action Confirm Sleep Nap Header","I will wake up in an hour"
"Action Confirm Sleep DeepSleep Header",ZZZ...
"Action Confirm Eating Initial Header","Eating with Mai?"
"Action Confirm Eating Accept Button","Sure, why not?"
"Action Confirm Eating Decline Button","I'm not hungry"
"Action Confirm Eating WithMai Header","Food is delicious when eaten with Mai"
"Action Confirm Sex Initial Header",Have sex with Mai?
"Action Confirm Sex Accept Button",Fuck yeah!
"Action Confirm Sex Decline Button","I wanna sleep"
"Action Confirm Working Initial Header","Start Working"
"Action Confirm Working Normal Button","Work"
"Action Confirm Working Hard Button","Work hard"
"Action Confirm Working Cancel Button",I'm Lazy
"Action Confirm Working Done Header","My job is done!"
"Action Confirm Talking Initial Header","Talk to someone?"
"Action Confirm Talking Accept Button",Let's talk!
"Action Confirm Talking Decline Button","I'm an introvert"
"Action Confirm Talking Result Header","It's nice to talk to everyone"
"Action Confirm Exercise Initial Header","Start Exercise?"
"Action Confirm Exercise Normal Button",Okay...
"Action Confirm Exercise Hard Button","Try my best!"
"Action Confirm Exercise Cancel Button",I'm lazy...
"Action Confirm Exercise Done Header","Done! So tired..."
"Action Confirm Progress Initial Header","Progress"
"Action Confirm Progress WorkLevel","Work Level"
"Action Confirm Progress NextLevel","Next Level"
"Action Confirm Progress Promote Button","Promote"
"Action Confirm Progress Promote Success","Your work has been promoted!\nHigher level, more money"
"Action Confirm Progress Promote Fail","Promotion failed\nYou need to make more progress"
"Simulation Finish","Finish"
Simulation Control Insert,Insert
Simulation Control Pussy,Pussy
Simulation Control Butthole,Butthole
Simulation Control Slow,Slow
Simulation Control Fast,Fast
Simulation Control Stop,Stop
Simulation Control Outside,Outside
Simulation Control Pullout,Pullout
Simulation Control Scene,Scene
Simulation Control Hand,Hand
Simulation Control Tongue,Tongue
Simulation Control Sex Toy,Sex Toy
"Simulation EndSexScene Question","End the sex scene?"
"Simulation Result Header Positive","You were amazing last night"
"Simulation Result Header Negative","It's okay, you tried your best"
"Simulation Result Orgasm Hand","Orgasm (Hand)"
"Simulation Result Orgasm Mouth","Orgasm (Mouth/Tongue)"
"Simulation Result Orgasm Pussy","Orgasm (Pussy)"
"Simulation Result Orgasm Butthole","Orgasm (Butthole)"
"Simulation Result Orgasm Roleplay","Orgasm (Roleplay)"
"Simulation Result Orgasm Sex","Orgasm (Sex)"
"Simulation Result Fuck Mai",Fuck Mai
"Simulation Result Total Points","Total Points"
"Simulation Result Sensitive Boobs",Boobs
"Simulation Result Sensitive Mouth",Mouth
"Simulation Result Sensitive Pussy",Pussy
"Simulation Result Sensitive Butthole",Butthole
"Simulation Result Other Header","Other"
"Simulation Result Cum Inside","Cum Inside (No Condom)"
"Simulation Result Pregnancy Chance","Pregnancy Chance"
"Simulation Result Mai Satisfaction","Mai's Satisfaction"
"Simulation Result Next Day","Next Day"
"Notice Libido Too Low","Mai doesn't seem interested right now. Maybe try again later?"
"Notice Enough Sleep","I've had enough sleep."
"Notice Not Enough Energy","Not enough Energy"
"Notice Enough Energy","I've had enough Energy for today"
Simulation Position Blowjob,Blowjob
Simulation Position Cowgirl,Cowgirl
Simulation Position Doggy Style,Doggy Style
Simulation Position Foreplay Butthole,Foreplay Butthole
Simulation Position Foreplay Pussy,Foreplay Pussy
Simulation Position Full Nelson,Full Nelson
Simulation Position Mating Press,Mating Press
Simulation Position Paizuri,Paizuri
Simulation Position Return,Return
Simulation Position Spooning,Spooning
Skill Sex Scene Doggy Style,Doggy Style
Skill Sex Scene Roleplay Pussy,Roleplay Pussy
Skill Sex Scene Full Nelson,Full Nelson
Skill Sex Scene Spooning,Spooning
Skill Sex Scene Missionary,Missionary
Skill Sex Scene Paizuri,Paizuri
Skill Sex Scene Roleplay Butthole,Roleplay Butthole
Skill Sex Scene Mating Press,Mating Press
Skill Sex Scene Blowjob,Blowjob
Skill Sex Scene Cowgirl,Cowgirl
"UI Empty",""
"UI Value Integer","{amount}"
"UI Value Signed","{amount}"
"UI Value Ratio","{current}/{max}"
"UI Value Text","{value}"
"UI Value Max","Max"
"Day Time Day","Day: {day}"
"Day Time Time","Time: {time}"
"Body Not Pregnant Chance","Not pregnant ({chance}%)"
"Body Sensitive Points Per Activity Summary","Boobs: +{boobs} Sensitive Points\nMouth: +{mouth} Sensitive Points\nPussy: +{pussy} Sensitive Points\nButthole: +{butthole} Sensitive Points"
"Body Sensitive Level Upgrade Confirm","The next Sensitive Level will cost {cost} Sensitive Points."
"Body Lewd Level Upgrade Confirm","Lewd Level {level} will cost:\n- Boobs: {boobsCost} Sensitive Points\n- Mouth: {mouthCost} Sensitive Points\n- Pussy: {pussyCost} Sensitive Points\n- Butthole: {buttholeCost} Sensitive Points"
"Body Upgrade Button","Upgrade"
"Body Level Up Button","Level Up"
"Notice Not Enough Sensitive Points","You need more Sensitive Points."
"Notice Sensitive Level Upgrade Success","Congratulations!!\nYou will receive +{amount} Sensitive Points each times."
"Sex Scene Unlock Confirm Question","Unlock this scene?"
"Sex Scene Unlock Confirm Yes","Fuck yeah!"
"Sex Scene Unlock Confirm No","Nah..."
"Notice Sex Scene Unlock Success","Unlocked successfully! You can use this scene when having sex with Mai."
"Notice Sex Scene Unlock Failure","Unlock failed. You do not meet the requirements to unlock this scene."
"Sex Scene Unlock Info Header","Unlock conditions"
"Sex Scene Unlock Requirements Missionary","- Sex Points: 0"
"Sex Scene Unlock Requirements Roleplay Pussy","- Sex Points: 0"
"Sex Scene Unlock Requirements Roleplay Butthole","- Sex Points: 50"
"Sex Scene Unlock Requirements Blowjob","- Sex Points: 50"
"Sex Scene Unlock Requirements Paizuri","- Sex Points: 50"
"Sex Scene Unlock Requirements Doggy Style","- Sex Points: 200\n- Sensitive Level for Pussy must be 3 or more.\n- Sensitive Level for Butthole must be 3 or more."
"Sex Scene Unlock Requirements Cowgirl","- Sex Points: 300\n- Sensitive Level for Pussy must be 5 or more.\n- Lewd Level 2 or more."
"Sex Scene Unlock Requirements Spooning","- Sex Points: 500\n- Love Points must be over 200 Points.\n- Lewd Level 2 or more."
"Sex Scene Unlock Requirements Mating Press","- Sex Points: 700\n- Sensitive Level for Pussy must be 6 or more.\n- Sensitive Level for Butthole must be 6 or more.\n- Lewd Level 3 or more."
"Sex Scene Unlock Requirements Full Nelson","- Sex Points: 1000\n- Max Energy must be over 300.\n- Love Points must be over 400 Points.\n- Lewd Level 4 or more."
"Stat Money","Money"
"Stat Knowledge","Knowledge"
"Stat Progress","Progress"
"Stat Energy","Energy"
"Stat Love","Love"
"Stat Libido","Libido"
"Stat Charming","Charming"
"Stat Sex Points","Sex Points"
"Floating Stat Popup","{amount} {stat} Points"
"Stat Boobs Sensitive Points","Boobs Sensitive"
"Stat Mouth Sensitive Points","Mouth Sensitive"
"Stat Pussy Sensitive Points","Pussy Sensitive"
"Stat Butthole Sensitive Points","Butthole Sensitive"
"Stat Lewd Level","Lewd Level"
"Stat Boobs Sensitive Level","Boobs Sensitive Level"
"Stat Mouth Sensitive Level","Mouth Sensitive Level"
"Stat Pussy Sensitive Level","Pussy Sensitive Level"
"Stat Butthole Sensitive Level","Butthole Sensitive Level"
"Stat Pregnancy Chance","Pregnancy Chance"
"In Game Skill Point","Skill Point"
"In Game Charming",Charming
"In Game Knowledge",Knowledge
"In Game Day",Day
"In Game Cycle",Cycle
"In Game Cycle Morning",Morning
"In Game Cycle Evening",Evening
"In Game Cycle Night",Night
"In Game Work Level","Work Level"
"In Game Work Progress","Work Progress"
"UI Value Level","Lv {amount}"
