Key,Text
Body Butthole,"Hậu Môn"
Body Body Status,"Tình Trạng Cơ Thể"
Body Boobs,"Ngực"
Body Lewd Level Title,Độ dâm cấp
Body Mouth,"Miệng"
"Body Not Pregnant",Chưa có thai
"Body Point",Điểm
"Body Pregnancy Status","Tình Trạng Thai"
"Body Pregnant",Đã có thai
"Body Profile",Hồ Sơ
"Body Sensitive points","Điểm nhạy cảm"
Body Pussy,Âm Đạo
"Confirm Question In Game","Trở về Tiêu đề Game ?"
"Confirm Question Main Menu",Bắt đầu từ số 0 ?
"In Game Energy","Năng Lượng"
"In Game Inventory",Túi Đồ
"In Game Mai Clothes","Quần Áo Mai"
"In Game Mai Profile",Hồ Sơ Mai
"In Game Place",Địa Điểm
"In Game Setting",Cài Đặt
"In Game Skill","Kĩ Năng"
"In Game Time","Thời Gian"
"In Game Money","Tiền"
"Inventory Give",Cho
"Inventory Use","Dùng"
"Inventory Item Amount","x{amount}"
"Item Apron Desc","+100 Điểm Tình Cảm"
"Item Apron Name",Tạp Dề
"Item Banh Mi Desc","+20 Năng Lượng"
"Item Banh Mi Name","Bánh Mì"
"Item Big Teddy Bear Desc","+500 Điểm Tình Cảm"
"Item Big Teddy Bear Name","Gấu Bông Siêu To"
"Item Bikini Desc","+100 Điểm Tình Cảm"
"Item Bikini Name","Bikini"
"Item Condom Desc","Ngăn ngừa có thai"
"Item Condom Name",Bao Cao Su
"Item Energy Drink Desc","+10 Năng Lượng"
"Item Energy Drink Name","Nước Tăng Lực"
"Item Flower Desc","+200 Điểm Tình Cảm"
"Item Flower Name",Hoa
Item Gym Outfit Desc,"+100 Điểm Tình Cảm"
"Item Gym Outfit Name",Đồ Tập Gym
Item Lipstick Desc,"+100 Điểm Tình Cảm"
"Item Lipstick Name","Thỏi Son"
"Item Lunch Desc","+50 Năng Lượng"
"Item Lunch Name",Cơm Hộp
Item Milk Desc,"+5 Năng Lượng"
"Item Milk Name",Sữa
"Item Rocket Drink Desc","+50 Sức Bền"
"Item Rocket Drink Name","Rocket 1 Giờ"
"Item Sexy Sleepwear Desc","+100 Điểm Tình Cảm"
"Item Sexy Sleepwear Name","Đồ Ngủ Gợi Cảm"
"Mai Clothes Wear",Mặc
"Mai Profile Age Title",Tuổi
"Mai Profile Body Button",Cơ Thể
"Mai Profile Gender","Nữ"
"Mai Profile Gender Title","Giới Tính"
"Mai Profile Height",160 cm
"Mai Profile Height Title",Chiều Cao
"Mai Profile Libido","{amount} Điểm"
"Mai Profile Libido Title","Trạng Thái Nứng"
"Mai Profile Libido State 0","Không hứng thú"
"Mai Profile Libido State 1","Bình thường"
"Mai Profile Libido State 2","Sẵn sàng chịch"
"Mai Profile Libido State 3","Nứng"
"Mai Profile Libido State 4","Vắt cực khô"
"Mai Profile Love","{amount} Điểm"
"Mai Profile Love Level","Cấp {level}"
"Mai Profile Love Title","Tình Cảm"
"Mai Profile Name","Nguyễn Thị Thanh Mai"
"Mai Profile Name Title","Tên"
"Mai Profile Profile",Hồ Sơ
"Mai Profile Relationship Status","Tình Trạng Quan Hệ"
"Mai Profile Three Sizes",95/58/93
"Mai Profile Three Sizes Title","3 Vòng"
"Mai Profile Weight",55 kg
"Mai Profile Weight Title","Cân Nặng"
"New Game Placeholder","Player"
"Notice I don't wanna go out at this time","Mình không muốn ra ngoài vào giờ này"
"Notice It's not my working hours at this time","Hiện tại không phải là giờ làm việc của mình"
"Place Company","Công Ty"
"Place Hiep Mart","Hiep Mart"
Place Home,"Nhà"
"Place Park","Công Viên"
"Setting Language","Ngôn ngữ"
"Setting Load Game","Tải Game"
"Setting Music","Nhạc"
"Setting Return",Tiêu đề
"Setting Save Game",Lưu Game
"Setting Screen","Màn hình"
"Setting Screen Full Screen","Toàn màn hình"
"Setting Screen Window",Cửa sổ
"Setting Sound","Âm thanh"
"Setting Tab Audio","Âm thanh"
"Setting Tab Display","Hiển thị"
"Setting Tab System","Hệ thống"
"Setting Title",Cài Đặt
"Setting Voice","Lồng tiếng"
Shop Buy,Mua
Shop Tab Gifts,Quà
Shop Tab Goods,"Đồ dùng"
Skill Age Title,Tuổi
"Skill Energy Title","Năng Lượng"
"Skill Big Dick Description","Điểm năng lượng bị tiêu hao sau mỗi lần bạn dùng cặc"
Skill Big Dick Title,Cặc To
"Skill Charming","Quyến Rũ"
"Skill Gender","Nam"
"Skill Gender Title","Giới Tính"
"Skill Long Night Description","Phần trăm có thai sau mỗi lần bạn bắn vào trong Mai mà không đeo bao cao su"
"Skill Long Night Title",Có thai đi!
"Skill Hmm...Delicious Description","Làm Mai lên đỉnh bằng miệng/lưỡi của bạn"
Skill Hmm...Delicious Title,"Hmm...Ngon!"
"Skill I need more bullet! Description","Số lần bạn có thể ra"
"Skill I need more bullet! Title","Anh cần thêm đạn!"
"Skill I'm bout to CUM Description","Phần trăm bạn sẽ ra sau mỗi lần đút cặc vào trong lồn của Mai"
Skill I'm bout to CUM Title,"Ăn ba tô CƠM!"
"Skill Knowledge","Kiến Thức"
"Skill Magic Hand Description","Làm Mai lên đỉnh bằng tay của bạn"
"Skill Magic Hand Title","Bàn Tay Ảo Lòn"
"Skill Max Energy","Năng Lượng Tối Đa"
"Skill Name","Tên"
"Skill Necessary Points","Điểm Cần Thiết"
"Skill Points",Điểm
"Skill Profile",Hồ Sơ
"Skill Sex Points","Điểm Tình Dục"
Skill Sex Skill 1,"Kỹ Năng Làm Tình 1"
Skill Sex Skill 2,"Kỹ Năng Làm Tình 2"
"Skill Sex Scene",Tư thế
Skill Skill,"Kĩ Năng"
"Skill You like anal, don't you ? Description","Đụ đít Mai lên đỉnh bằng cặc của bạn"
"Skill You like anal, don't you ? Title","Thích đụ đít hông?"
"Skill You like my dick, huh ? Description","Đụ lồn Mai lên đỉnh bằng cặc của bạn"
"Skill You like my dick, huh ? Title","Thích cặc anh hông?"
"Skill Stamina Title",Thể Lực
"Start Confirm No","Không"
"Start Confirm Question",Bắt đầu từ đây
"Start Confirm Yes","Vâng"
"Start Credit Background Illustrator","Minh họa bối cảnh"
"Start Credit Button","Nhân Sự"
"Start Credit Dev 1","Lập trình Game"
"Start Credit Dev 2","Lập trình Game"
"Start Credit Music","Nhạc Game"
"Start Credit Staff Voice","Giọng nhân viên"
"Start Credit Title","Nhân sự"
"Start Credit Voice Actress","Diễn viên lồng tiếng"
"Start Credit Write & Illustrator","Kịch bản & Minh họa"
"Start Load Game Button",Tải Game
"Start Load Game Quick Save","Lưu nhanh"
"Start Load Game Save No",Lưu Game {0}
